index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link
132,23-Jun-2011,Pruebas de hinchamiento lineal utilizando el aditivo Z–TROL 100 como inhibidor de arcillas en fluidos de perforación,"Rausseo U., Carlos M.",2.65 MB,http://saber.ucv.ve/handle/10872/217,http://saber.ucv.ve/bitstream/10872/217/1/trabajo%20final.pdf
133,23-Jun-2011,Prevención de la formación de hidratos de gas en gasoductos,"Ponce V., Elio M.",9.53 MB,http://saber.ucv.ve/handle/10872/211,http://saber.ucv.ve/bitstream/10872/211/1/Tesis.pdf
134,23-Jun-2011,Diseño de planta experimental de desalinización solar para abastecer de agua potable a zonas rurales de la Guajira venezolana,"Pocaterra L., Javier E.",7.6 MB,http://saber.ucv.ve/handle/10872/210,http://saber.ucv.ve/bitstream/10872/210/1/Planta%20Desalinizadora%20Solar.pdf
135,23-Jun-2011,"Diagnóstico, evaluación y optimización de los métodos de levantamiento artificial en la unidad de explotación de yacimientos Barinas, Campo Sinco","Rattia A., Luis J.",11.84 MB,http://saber.ucv.ve/handle/10872/216,http://saber.ucv.ve/bitstream/10872/216/1/LRATTIA_TESIS.pdf
136,23-Jun-2011,Modificación de las propiedades de polipropileno con caucho natural,"Romero P., Desireé R.",662.97 kB,http://saber.ucv.ve/handle/10872/227,http://saber.ucv.ve/bitstream/10872/227/1/Trabajo%20especial%20de%20grado.pdf
137,23-Jun-2011,"Evaluación estadística de las actividades no productivas y sus tiempos asociados en las operaciones de perforación en las áreas San Tomé, Punta de Mata, Anaco y Maturín","Rivas J., Jormi M.",3.4 MB,http://saber.ucv.ve/handle/10872/221,http://saber.ucv.ve/bitstream/10872/221/1/Tesis%20Final.pdf
138,23-Jun-2011,Aplicación de técnicas especiales de control y seguimiento de yacimientos para el diagnóstico del área de Jobo asignado a PetroUDO,"Cabello Solís, Tania M.; Wills López, Violeta C.",8.43 MB,http://saber.ucv.ve/handle/10872/236,http://saber.ucv.ve/bitstream/10872/236/1/TESIS%20Tania%20y%20Violeta.pdf
139,23-Jun-2011,"Estudio del comportamiento de las estructuras de gel y punto cedente, en presencia de contaminantes inertes y no inertes en fluidos de perforación base aceite","Rodríguez-Acosta, Alexis",3.53 MB,http://saber.ucv.ve/handle/10872/222,http://saber.ucv.ve/bitstream/10872/222/1/Tesis%20Final.pdf
140,23-Jun-2011,Diseño y construcción de un sistema de compactación de desechos provenientes de locales de comida rápida,"Ruiz T., Marelys J.
Torres, José R.",368.73 kB,http://saber.ucv.ve/handle/10872/230,http://saber.ucv.ve/bitstream/10872/230/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf
141,23-Jun-2011,Evaluación de una alternativa tecnológica para un sistema de producción de cerdos bajo el enfoque de tratamiento y aprovechamiento de los efluentes generados,"Quintero G., Jenny G.; Velasco C., Nazareth de J.",5.15 MB,http://saber.ucv.ve/handle/10872/214,http://saber.ucv.ve/bitstream/10872/214/1/TESIS%20FUNDACI%c3%93N%20POLAR.pdf
142,23-Jun-2011,"Evolución diagenética del miembro informal “B-6-X” de la formación Misoa en el ÁREA DE Cabimas-Punta Benitez, Cuenca de Maracaibo. Estado Zulia.","Rojas U., María A.",23.71 MB,http://saber.ucv.ve/handle/10872/226,http://saber.ucv.ve/bitstream/10872/226/1/Evolucion%20diagenetica%20de%20B6%20de%20la%20Formacion%20Misoa%20Estado%20Zul.pdf
143,23-Jun-2011,"Influencia de la relación de fases en el desempeño fluidodinámico de una columna rellena con empaque estructurado SMVP, con dirección de transferencia de masa de la fase continua a la fase dispersa","Riccelli De P., Roberto D.; Zghun T., Angela M.",989.02 kB,http://saber.ucv.ve/handle/10872/220,http://saber.ucv.ve/bitstream/10872/220/1/Extracci%c3%b3n%20L-L.pdf
144,23-Jun-2011,Diseño de un grupo eólico para bombeo de agua,"Ruiz O., Leonardo J.; Veliz A., Elvis R.",3.15 MB,http://saber.ucv.ve/handle/10872/231,http://saber.ucv.ve/bitstream/10872/231/1/Dise%c3%b1o%20grupo%20eolico%20para%20bombeo%20de%20agua.pdf
145,23-Jun-2011,Estudio y caracterización de un acero inoxidable duplex SAF 2205 soldado por arco de plasma a través de la técnica “ojo de cerradura”,"Quintero P., Miguel A.",3.14 MB,http://saber.ucv.ve/handle/10872/213,http://saber.ucv.ve/bitstream/10872/213/1/aceros%20inoxidables%20duplex.pdf
146,23-Jun-2011,Influencia de la estructura de la torta sobre su permeabilidad y porosidad,"Rojas C., Gloria C.",1.48 MB,http://saber.ucv.ve/handle/10872/225,http://saber.ucv.ve/bitstream/10872/225/1/Tesis-GloriaRojas.pdf
147,23-Jun-2011,Estudio de pozos inactivos del área Bachaquero Intercampos (parcelas agua 317 y agua 325),"Quijada G., Rafael A.; Vásquez C., Jorge L.",17.58 MB,http://saber.ucv.ve/handle/10872/212,http://saber.ucv.ve/bitstream/10872/212/1/Tesis%20Rafael%20Quijada.pdf
148,28-Jun-2011,Estandarización de tuberías de línea y de procesos en la industria petrolera nacional,"Ferrer C., Joel A.",818.4 kB,http://saber.ucv.ve/handle/10872/308,http://saber.ucv.ve/bitstream/10872/308/1/Estandarizaci%c3%b3n%20de%20Tuber%c3%adas%20de%20L%c3%adnea%20y%20de%20Procesos%20en%20la%20Ind.pdf
149,28-Jun-2011,Simulación de reactores de producción de polietileno en suspensión,"Fusco G., Giovanna M.",973.61 kB,http://saber.ucv.ve/handle/10872/309,http://saber.ucv.ve/bitstream/10872/309/1/T.E.G.%20Fusco%20G.M..pdf
150,29-Jun-2011,Determinación de la productividad máxima en pozos horizontales en función de la longitud o sección horizontal.,"Gamboa, Alba; González, Tirso",3 MB,http://saber.ucv.ve/handle/10872/310,http://saber.ucv.ve/bitstream/10872/310/1/Tesis.pdf
151,20-Jul-2011,"Ubicación, diseño, construcción, mantenimiento y operación de pozos de agua subterránea caso de estudio: Cervecería Polar los Cortijos C.A","García Machado, Vanessa A.",1.54 MB,http://saber.ucv.ve/handle/10872/313,http://saber.ucv.ve/bitstream/10872/313/1/TESISII_POZOS-2003.pdf
152,20-Jul-2011,Deshidratación de alcoholes pentílicos sobre alumino-silicatos mesoporosos.,"Gandica, Yolimar",6.22 MB,http://saber.ucv.ve/handle/10872/312,http://saber.ucv.ve/bitstream/10872/312/1/T.E.G.%20Gandica%20Yolimar.pdf
153,26-Sep-2011,La seguridad industrial :los costos de los accidentes de trabajo y su repercusión sobre la empresa.,"Pacheco, Cristóbal O.",18.43 MB,http://saber.ucv.ve/handle/10872/317,http://saber.ucv.ve/bitstream/10872/317/1/tesis_DD185opacheco.pdf
154,26-Sep-2011,Algunos elementos de análisis de la higiene y seguridad industriales en Venezuela.,"Hurtado Pérez, Yudeima; Marcano Brito, Ana L.",27.11 MB,http://saber.ucv.ve/handle/10872/316,http://saber.ucv.ve/bitstream/10872/316/1/tesis_DD188yhurtado.pdf
155,26-Sep-2011,La ergonomía: El trabajo adaptado a las características del hombre.,"Morales Valarino, Jesús",68.54 MB,http://saber.ucv.ve/handle/10872/315,http://saber.ucv.ve/bitstream/10872/315/1/tesis_DD193jmorales.PDF
156,26-Sep-2011,"Flexibilidad, división sexual del trabajo y salud laboral:caso de una industria de alimentos, Maracay 1999-2003","Acevedo Izaguirre, Doris Marlene",39.47 MB,http://saber.ucv.ve/handle/10872/314,http://saber.ucv.ve/bitstream/10872/314/1/tesis_DD162dacevedo.PDF
157,27-Sep-2011,El Nacional: una experiencia de lucha para mejorar las condiciones de higiene y seguridad industrial.,"Balliache G., Dilcia I.",40.31 MB,http://saber.ucv.ve/handle/10872/318,http://saber.ucv.ve/bitstream/10872/318/1/tesis_DD203dballiache.PDF
158,27-Sep-2011,"Aproximación al análisis de los niveles de actuación de los licenciados en Trabajo Social en el campo laboral, específicamente en el área de la seguridad industrial.","Daza, Leyla; Vera, Francis",17.97 MB,http://saber.ucv.ve/handle/10872/319,http://saber.ucv.ve/bitstream/10872/319/1/tesis_DD198ldaza.PDF
159,30-Sep-2011,Desempeño laboral de los profesionales de enfermería en el Hospital Vargas de Caracas durante el segundo trimestre de 2005,"Machillanda, Dubraska",1.54 MB,http://saber.ucv.ve/handle/10872/344,http://saber.ucv.ve/bitstream/10872/344/1/tesis%20dubraska.pdf
160,30-Sep-2011,"Condiciones de salubridad y cuidados humanos del adulto mayor institucionalizado en la Unidad Geriátrica “Doña Menca de Leoni”. Municipio Tucupita, Estado Delta Amacuro. Primer trimestre año 2.006","Bermúdez, Yvis; Valenzuela, Sergia; Vásquez, Emilia",571.6 kB,http://saber.ucv.ve/handle/10872/354,http://saber.ucv.ve/bitstream/10872/354/1/Tesis%20UCV%20Emilia%2c%20Sergia%2c%20Yvis.pdf
161,30-Sep-2011,"Lineamientos para un programa de incentivos económicos y no económicos, para el uso sistemático del equipo de protección personal","Leidenz R., Mario",25.62 MB,http://saber.ucv.ve/handle/10872/331,http://saber.ucv.ve/bitstream/10872/331/1/tesis_DD190mleidenz.pdf
162,30-Sep-2011,Cuidados de enfermería en pacientes que reciben nutrición parenteral total hospitalizados en el Centro Policlínico Valencia Estado Carabobo,"Diaz, Eukari; Ochoa, Zenaida; Ollarves, Zulay",575.46 kB,http://saber.ucv.ve/handle/10872/329,http://saber.ucv.ve/bitstream/10872/329/1/tesis%20zulay%20mercedes.pdf
163,30-Sep-2011,Cambios clínicos de los pacientes que reciben tratamiento con esteroides inhalados. Emergencia del hospital pediátrico Dr. Elías Toro. 1er trimestre 2005,"Contreras, Rudhit; Valecillo, Nelba",201.65 kB,http://saber.ucv.ve/handle/10872/328,http://saber.ucv.ve/bitstream/10872/328/1/CAMBIOS%2520CLINICOS%2520DE%2520LOS%2520PACIENTES%2520QUE%2520RECIBEN%2520TRATAMIENTO%2520CON%2520ESTEROIDES%2520INHA.pdf
164,30-Sep-2011,"Cuidados de enfermería a usuarios hospitalizados de la Unidad Clínica de Cirugía en la fase preoperatoria del Hospital Uyapar de Puerto Ordaz, estado Bolívar, primer semestre 2005","Doris, Walter",158.01 kB,http://saber.ucv.ve/handle/10872/369,http://saber.ucv.ve/bitstream/10872/369/1/Tesis%20Dilcia%20y%20Doris.2.pdf
165,30-Sep-2011,"Propuesta de un programa educativo de prevención de presión arterial elevada en adolescente de 13 a 18 años atendidos en la Unidad de Cardiología en el Hospital ""Dr. Ernesto Guzmán Saavedra"". Caicara de Maturín estado Monagas, primer semestre 2006.","Bolívar, Olga; Rengel, Hivelisse",385.83 kB,http://saber.ucv.ve/handle/10872/356,http://saber.ucv.ve/bitstream/10872/356/1/Universidad%20Central.pdf
166,30-Sep-2011,Salud y seguridad laboral del obrero de la construcción: La ideología empresarial,"Mota, Ismer J.; Peréz, Piruska del V.",65.75 MB,http://saber.ucv.ve/handle/10872/336,http://saber.ucv.ve/bitstream/10872/336/1/tesis_DD192imota.pdf
167,30-Sep-2011,Creación de grupos de apoyo para promover educación sexual en adolescentes basada en valores morales con estudiantes cursantes del octavo y noveno grado de la Unidad Educativa “Virgen de Coromoto” Municipio San Diego Valencia estado Carabobo 2005,"Centeno, Miriam; Hurtado, Nancy; Padrón, Dilcia",1.03 MB,http://saber.ucv.ve/handle/10872/361,http://saber.ucv.ve/bitstream/10872/361/1/Tesis.pdf
168,30-Sep-2011,"Instrumentos de observación para medir los efectos fisiológicos de la musicoterapia en adolescentes primigestas durante trabajo de parto y parto, Maternidad Concepción Palacios, primer trimestre de 2006","ALCALA, DINORATH; ARTEAGA, ELIBETH",361.14 kB,http://saber.ucv.ve/handle/10872/349,http://saber.ucv.ve/bitstream/10872/349/1/TESIS%20.pdf
169,30-Sep-2011,"Programa para prevenir la insuficiencia renal crónica terminal en pacientes diabéticos que acuden a la consulta de Endocrinología del Hospital Manuel Núñez Tovar, Maturín, estado Monagas, año 2005","Bastardo, Onelvys; Gil, Gisela; Rodríguez, Mary",305.67 kB,http://saber.ucv.ve/handle/10872/353,http://saber.ucv.ve/bitstream/10872/353/1/HOSPITAL%20U.C.V.pdf
170,30-Sep-2011,"Factores socioeconómicos asociados a la desnutrición de los niños en edad comprendida entre 0-2 años del Barrio La Constituyente de Maturín, estado Monagas en el 2do trimestre del año 2005","González, Mercedes; Sotillet, Luisa",369.98 kB,http://saber.ucv.ve/handle/10872/338,http://saber.ucv.ve/bitstream/10872/338/1/tesis%20de%20enfermeria%20correciones1.pdf
171,30-Sep-2011,"Propuesta de un modelo de participación de enfermería con Barrio Adentro, comunidad Artigas, parroquia San Juan, Caracas, Segundo Semestre, 2005","Evans, Margarita; Mejías, Liliana; Ruíz, Inora",1.05 MB,http://saber.ucv.ve/handle/10872/332,http://saber.ucv.ve/bitstream/10872/332/1/PROPUESTA%20MODELO%20PARTICIPACI%c3%93N%20DE%20ENFERMER%c3%8dA%20PBA.pdf
172,30-Sep-2011,Alteraciones músculo-esqueléticas en la enfermera(o) quirúrgica(o) en el Hospital Militar 'Dr. Carlos Arvelo' durante el primer semestre de 2006,"BRICEÑO, GRETHY; FAGUNDEZ, ERIKA; QUINTERO, DEICY",553.69 kB,http://saber.ucv.ve/handle/10872/357,http://saber.ucv.ve/bitstream/10872/357/1/TEG_Alteraciones_M%c3%basculoEsquel%c3%a9ticas.pdf
173,30-Sep-2011,"Intervención de enfermería en la prevención de úlceras por presión en el adulto mayor institucionalizado focalizado en la teoría de Jean Watson. Unidad geriátrica 'Dr. Marcos Serres Padilla' de Maturín, estado Monagas, segundo semestre del año 2005","Fernández, Oneida; Leonice, Marvelys; Salazar, Marvelia",24.34 MB,http://saber.ucv.ve/handle/10872/364,http://saber.ucv.ve/bitstream/10872/364/1/UCVTesisUPP-Final-Esther.pdf
174,30-Sep-2011,Conocimiento que posee el técnico superior en enfermería en la atención del adulto politraumatizado a nivel pre-hospitalario,"Asuf, Yazdani; Bastidas, Jeniffer; López, Claudia",755.6 kB,http://saber.ucv.ve/handle/10872/323,http://saber.ucv.ve/bitstream/10872/323/1/atencion%20prehospitalario.pdf
175,30-Sep-2011,"Propuesta de un programa educativo sobre la prevención de riesgos laborales dirigido a los profesionales de enfermería del área de sala de parto del Hospital Universitario “Dr. Ángel Larralde” Municipio Naguanagua, Valencia – Edo. Carabobo, año 2.006.","Gómez, Mary; Hornostaj, Johana",392.75 kB,http://saber.ucv.ve/handle/10872/366,http://saber.ucv.ve/bitstream/10872/366/1/tesis%20prevenci%c3%b3n%20de%20riesgos%20laborales.PDF
