,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
39,520,2011-11-07,"Ingeniería básicas de subestación eléctrica 34,5 - 4,16 KV para la alimentación de una planta de acondicionamiento de gas del mercado interno","Laverde M., Vanesssa C.",1.54 MB,http://saber.ucv.ve/handle/10872/729,http://saber.ucv.ve/bitstream/10872/729/1/Trabajo%20de%20grado%20Vanessa%20Laverde.pdf,,thesis_pdf_all/520.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nerio Ojeda
40,521,2011-11-07,"Estudio de factibilidad técnico-económica para el diseño de una red piloto que permita transportar datos, voz y video para FONASA y la empresa ALEPH en una región de Chile","Marcano Q., Roman S.",744.94 kB,http://saber.ucv.ve/handle/10872/730,http://saber.ucv.ve/bitstream/10872/730/1/Roman%20Marcano1.pdf,,thesis_pdf_all/521.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Fuenmayor Carlos
41,522,2011-11-08,Aplicación de técnicas probabilísticas al análisis de flujo de carga con generación distribuida de origen eólico caso práctico: sistema eléctrico Isla de Margarita,"Ortiz G., Marco A.",1.09 MB,http://saber.ucv.ve/handle/10872/733,http://saber.ucv.ve/bitstream/10872/733/1/TesisMarco_Ortiz.pdf,,thesis_pdf_all/522.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nerio Ojeda
42,523,2011-11-08,"Implementación de servicios de voz y datos en los ""NUDETEL"" (Núcleos de Desarrollo de Telecomunicaciones) a través de la red de proxima generación NGN TELECOM Venezuela","Mejías F., Juan C.",2.95 MB,http://saber.ucv.ve/handle/10872/731,http://saber.ucv.ve/bitstream/10872/731/1/Trabajo%20Especial%20de%20grado%20Mejias%20F.%20Juan%20C..pdf,,thesis_pdf_all/523.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Luis Fernandez
43,524,2011-11-08,Mejora y estandarización del sistema de distribución de CADAFE región 4 zona Miranda,"Nava L., Freddy J.",1.89 MB,http://saber.ucv.ve/handle/10872/732,http://saber.ucv.ve/bitstream/10872/732/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/524.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Francisco Marchena
44,350,2011-10-20,"Diseño e implementación de un sistema de control para la máquina dispensadora de cartuchos desarrollada por la empresa Ind. Immediata 40, C.A","Quiñones B., Luis A.",1.41 MB,http://saber.ucv.ve/handle/10872/543,http://saber.ucv.ve/bitstream/10872/543/1/Trabajo%20de%20grado%20Luis%20Qui%c3%b1ones.pdf,,thesis_pdf_all/350.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Rafael E Rivero Navarro
45,526,2011-11-09,"Estudio eléctrico del sistema de potencia, nueva planta criogénica San Joaquín (IV tren de extracción de gas natural)","Zarzalejo, Julio D.",1.63 MB,http://saber.ucv.ve/handle/10872/741,http://saber.ucv.ve/bitstream/10872/741/1/TESIS%20JULIO.pdf,,thesis_pdf_all/526.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Vanessa Carlson
46,527,2011-11-09,Modelaje y análisis topológico-funcional de planta de acceso y transporte PSTN/NGN para operadora de Telecomunicaciones basada en el concepto IP multimedia subsystem,"Romero E., Rafael J.",1.68 MB,http://saber.ucv.ve/handle/10872/736,http://saber.ucv.ve/bitstream/10872/736/1/Modelaje%20y%20An%c3%a1lisis%20NGN%20IMS.pdf,,thesis_pdf_all/527.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carlos Fuenmayor
47,528,2011-11-09,Introducción del concepto softswitch en un operador de larga distancia,"Santana A., Johnatan A.",2.58 MB,http://saber.ucv.ve/handle/10872/738,http://saber.ucv.ve/bitstream/10872/738/1/TEG_Johnatan_Santana.pdf,,thesis_pdf_all/528.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carlos Fuenmayor
48,529,2011-11-09,Dimensionamiento de la estación terrena de respaldo de servicios para operación del satélite Simón Bolívar,"Alcaíno P, Manuel",1.19 MB,http://saber.ucv.ve/handle/10872/742,http://saber.ucv.ve/bitstream/10872/742/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/529.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Noel Diaz
49,532,2011-11-09,Factibilidad Técnica de implantación de las tecnologías VDSLx en planta de cobre sobre la red de acceso de CANTV para servicios triple play,"Roldán S., José A.",6.61 MB,http://saber.ucv.ve/handle/10872/735,http://saber.ucv.ve/bitstream/10872/735/1/Trabajo%20de%20Grado.pdf,,thesis_pdf_all/532.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carlos Fuenmayor
50,533,2011-11-09,Propuesta implementación del sistema secundario de una subestación eléctrica tipo NODAL III,"Ravel G., Jean M.",2.51 MB,http://saber.ucv.ve/handle/10872/734,http://saber.ucv.ve/bitstream/10872/734/1/Trabajo%20de%20Grado_Jean-Michel%20Ravel.pdf,,thesis_pdf_all/533.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nicolas Gavotti
