,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,dates
51,4687,2017-01-25,"Estudio de procedimientos para el mantenimiento de interruptores aislados en SF6 en el taller de equipos de distribución de la EDC, ubicado en el centro de servicios Chacao","Peña L., Douglas A.",1.91 MB,http://saber.ucv.ve/handle/10872/14125,http://saber.ucv.ve/bitstream/10872/14125/1/TESIS.pdf,,thesis_pdf_all/4687.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
52,4686,2017-01-25,Aplicación de una metodología de estimación probabilística de la distorsión armónica a un sistema de potencia. Caso de estudio: Sistema usado en IEEE - 14 barras,"Carrizales S., Analis Y.",3.65 MB,http://saber.ucv.ve/handle/10872/14119,http://saber.ucv.ve/bitstream/10872/14119/1/T.E.G.%20Completo%20Analis%20Yusmar%20Carrizales%20S%c3%a1nchez.pdf,,thesis_pdf_all/4686.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
53,4685,2017-01-25,Propuesta de mejoras al proceso de recuperación de contadores de energía eléctrica que aumenten su producción y calidad,"Pereira A., Jofrank D.",4.13 MB,http://saber.ucv.ve/handle/10872/14123,http://saber.ucv.ve/bitstream/10872/14123/1/T.E.G.%20Completo%20Jofrank%20D.%20Pereira%20A..pdf,,thesis_pdf_all/4685.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
54,4684,2017-01-24,Diagnóstico de las instalaciones eléctricas del edificio sur del Ministerio del Poder Popular para el Turismo (MINTUR),"Guillén E., Manuel A.",5.36 MB,http://saber.ucv.ve/handle/10872/14106,http://saber.ucv.ve/bitstream/10872/14106/1/TEG%20completo.pdf,,thesis_pdf_all/4684.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
55,4683,2017-01-24,Diseño de un tablero eléctrico de control y potencia para sistema de presión constante de 3 bombas iguales de 25HP en 220V,"Rodríguez H., Frank D.",2.67 MB,http://saber.ucv.ve/handle/10872/14107,http://saber.ucv.ve/bitstream/10872/14107/1/TEG%20completo%20Rodr%c3%adguez%20H.%2c%20Frank%20D..pdf,,thesis_pdf_all/4683.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
56,4682,2017-01-24,Diseño de un corrector de factor de potencia trifásico automático,"Mercado R., Alberto J.",6.1 MB,http://saber.ucv.ve/handle/10872/14108,http://saber.ucv.ve/bitstream/10872/14108/1/TEG%20Completo%20Mercado%20R.%2c%20Alberto%20J..pdf,,thesis_pdf_all/4682.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
57,4681,2017-01-24,Propuesta de diseño de un laboratorio de redes de comunicaciones y telemática para la Escuela de Ingeniería Eléctrica de la Universidad Central de Venezuela,"Márquez B., Pastor A.",10.58 MB,http://saber.ucv.ve/handle/10872/14109,http://saber.ucv.ve/bitstream/10872/14109/1/TEG%20Completo.pdf,,thesis_pdf_all/4681.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
58,4680,2017-01-24,"Estudio para la mejora de la cobertura en las estaciones de transmisión de señal abierta UHF, de Bello Monte en la ciudad de Barquisimeto y Terrazas de Caricuao en la Región Capital para Meridiano TV","Salas M., Ronnye J.",3.1 MB,http://saber.ucv.ve/handle/10872/14110,http://saber.ucv.ve/bitstream/10872/14110/1/TEG%20completo.pdf,,thesis_pdf_all/4680.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
59,4679,2017-01-24,"Implementation of power flow calculations for distribution systems – application to weakly meshed, unbalanced and harmonic cases","Abello R., Elyka",3.94 MB,http://saber.ucv.ve/handle/10872/14111,http://saber.ucv.ve/bitstream/10872/14111/1/TEG%20completo%20Elyka%20Abello%20R..pdf,,thesis_pdf_all/4679.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-24
60,5567,2017-03-30,Aplicación para la Gestión de Proyectos en Ambientes Sociales y Colaborativos bajo el enfoque de la Web 2.0,"Conesa Izquierdo, Elisa",2.35 MB,http://saber.ucv.ve/handle/10872/15575,http://saber.ucv.ve/bitstream/10872/15575/1/docTEG.pdf,,thesis_pdf_all/5567.pdf,True,True,False,escuela de computacion,Escuela de Computación,2017-03-30
