index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,path,isScan,school_simple,school_complex
117,22-Jun-2011,"Interpretación estratigráfica del área Socororo oeste del convenio Socororo, operado por PETROUCV, Edo. Anzoátegui.","Morales M., Erica",4.06 MB,http://saber.ucv.ve/handle/10872/197,http://saber.ucv.ve/bitstream/10872/197/1/TESIS%20ERICA%20MORALES.pdf,thesis_pdf/117.pdf,False,"Escuela de Geologia, Minas y Geofisica","Escuela de Geología, Minas y Geofísica"
104,22-Jun-2011,"Estudio sedimentológico de la cuenca de Taguanes, Tinaquillo estado Cojedes","Padrón, Carlos A.",4.13 MB,http://saber.ucv.ve/handle/10872/200,http://saber.ucv.ve/bitstream/10872/200/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,thesis_pdf/104.pdf,False,"Escuela de Geologia, Minas y Geofisica","Escuela de Geología, Minas y Geofísica"
97,20-Jun-2011,Transformación de N-Pentano sobre catalizadores Pt SAPO-11,"Hernández P., Liliana",4.18 MB,http://saber.ucv.ve/handle/10872/163,http://saber.ucv.ve/bitstream/10872/163/1/Trabajo%20Especial%20de%20Grado.pdf,thesis_pdf/97.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
34,1-Jun-2011,"Identificación de planes de explotación para el yacimiento C7 del área vla-31, flanco oeste, Campo Lagomar, Estado Zulia","Alvarez R., Argenis J.",4.24 MB,http://saber.ucv.ve/handle/10872/62,http://saber.ucv.ve/bitstream/10872/62/1/IDENTIFICACI%c3%93N%20DE%20PLANES%20DE%20EXPLOTACI%c3%93N%20PARA%20EL%20YACIMIENTO%20C7.pdf,thesis_pdf/34.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
114,22-Jun-2011,Estudio riguroso del sistema de distribución de gas metano ramal Guarenas – Guatire de PDVSA–GAS.,"Orellana O., Irma T.",4.26 MB,http://saber.ucv.ve/handle/10872/199,http://saber.ucv.ve/bitstream/10872/199/1/Irma%20Orellana%28Tesis%20de%20Grado%29.pdf,thesis_pdf/114.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
96,20-Jun-2011,Diseño y construcción de una desplumadora para el sector avícola,"Höhn, Ricardo; Moros, Daniel",4.32 MB,http://saber.ucv.ve/handle/10872/165,http://saber.ucv.ve/bitstream/10872/165/1/Tesis.pdf,thesis_pdf/96.pdf,False,Escuela de Ingenieria Mecanica,Escuela de Ingeniería Mecanica
16,31-May-2011,Soldadura del acero api 5l-X52 mediante el proceso flux cored arc welding (fcaw) con transferencia pulsada,"González G., Juan C.; Soriano R., Gregory G.",4.36 MB,http://saber.ucv.ve/handle/10872/40,http://saber.ucv.ve/bitstream/10872/40/1/TRABAJO%20DE%20GRADO_noPW.pdf,thesis_pdf/16.pdf,False,No school,None
26,31-May-2011,"""Comparación de metodologías para la determinación de aldehídos en el aire ambiental. Montaje de una estación experimental.”","Fernández P., Solysbeht.; Rivas T., Nahir J.",4.43 MB,http://saber.ucv.ve/handle/10872/38,http://saber.ucv.ve/bitstream/10872/38/1/TESIS.pdf,thesis_pdf/26.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
165,30-Sep-2011,"Propuesta de un programa educativo de prevención de presión arterial elevada en adolescente de 13 a 18 años atendidos en la Unidad de Cardiología en el Hospital ""Dr. Ernesto Guzmán Saavedra"". Caicara de Maturín estado Monagas, primer semestre 2006.","Bolívar, Olga; Rengel, Hivelisse",385.83 kB,http://saber.ucv.ve/handle/10872/356,http://saber.ucv.ve/bitstream/10872/356/1/Universidad%20Central.pdf,thesis_pdf/165.pdf,False,Escuela de Enfermeria,Escuela de Enfermería
25,31-May-2011,"Formación de revoques sobre discos porosos utilizando intecarb 20-25, 40-45 con adición de finos y gruesos","Salazar C., Yoraima I.; Valero S., Ada Y.",4.46 MB,http://saber.ucv.ve/handle/10872/43,http://saber.ucv.ve/bitstream/10872/43/1/FORMACI%c3%93N%20DE%20REVOQUES%20SOBRE%20DISCOS%20POROSOS%28Salazar%20-%20Valero%29.pdf,thesis_pdf/25.pdf,False,No school,None
49,3-Jun-2011,Resistencia al desgaste y a la corrosión de un recubrimiento de nitruro de titanio obtenido por la técnica de deposición física en estado de vapor.,"Braganti D., Lebjulet",7.85 MB,http://saber.ucv.ve/handle/10872/91,http://saber.ucv.ve/bitstream/10872/91/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,thesis_pdf/49.pdf,False,No school,None
115,22-Jun-2011,"Estudio para el mejoramiento de productividad de los pozos del área mayor de Socororo, mediante la aplicación de métodos de levantamiento artificial","Marques S., David A.; Rondón A., María A.",5.25 MB,http://saber.ucv.ve/handle/10872/190,http://saber.ucv.ve/bitstream/10872/190/1/Texto%20completo.pdf,thesis_pdf/115.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
53,3-Jun-2011,Síntesis y caracterización de catalizadores metálicos con diferentes soportes para las reacciones de hidrogenación de aromáticos,"Cano C., Kallinka; Teixeira Mendonca, María L.",4.8 MB,http://saber.ucv.ve/handle/10872/100,http://saber.ucv.ve/bitstream/10872/100/1/Trabajo%20de%20Grado.pdf,thesis_pdf/53.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
91,15-Jun-2011,Mejoramiento del proceso de construcción de pozos mediante el método de controles estadísticos de procesos,"Expósito R., Juan L.; Novoa D., Joel A.",4.83 MB,http://saber.ucv.ve/handle/10872/127,http://saber.ucv.ve/bitstream/10872/127/1/TESIS%20FINAL.pdf,thesis_pdf/91.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
127,23-Jun-2011,Estudio del mantenimiento de los equipos críticos de un sistema de deshidratación de gas natural (basado en MCC),"Rodríguez L., Miguel A.",4.85 MB,http://saber.ucv.ve/handle/10872/224,http://saber.ucv.ve/bitstream/10872/224/1/Tesis.PDF,thesis_pdf/127.pdf,False,Escuela de Ingenieria Mecanica,Escuela de Ingeniería Mecanica
108,22-Jun-2011,Estudio y diseño de esquemas de completación para los pozos a ser perforados en el área mayor de Socororo,"Peñaranda C., Juan M.; Trejo I., Ely D.",4.87 MB,http://saber.ucv.ve/handle/10872/203,http://saber.ucv.ve/bitstream/10872/203/1/TESIS%20TREJO-PE%c3%91ARANDA.pdf,thesis_pdf/108.pdf,False,Escuela de Ingenieria de Petroleo,Escuela de Ingeniería de Petroleo
181,30-Sep-2011,"Propuesta  de un programa educativo para la preparación física  de la embarazada de alto riesgo obstétrico antes de la monitorización electrónica fetal. Unidad de Perinatología, Hospital 'Enrique Tejera', Valencia, Edo. Carabobo, primer semestre 2006","Amanaú, Aura; Cabarca, Yomaira; Ramírez, Justina",421.94 kB,http://saber.ucv.ve/handle/10872/351,http://saber.ucv.ve/bitstream/10872/351/1/Propuesta%20de%20un%20programa%20educativo%20para%20la%20preparaci%c3%b3n%20f%c3%adsica%20de%20la%20embarazada%20de%20alto%20riesgo%20obs.pdf,thesis_pdf/181.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
184,30-Sep-2011,"Intervención de la enfermera(o) en la prevención de infecciones hospitalarias en recién nacidos atendidos en la Unidad de Neonatología del Hospital 'Dr. José Francisco Molina Sierra', Puerto Cabello, durante el primer semestre del año 2005","GRANADOS, Trinidad; GARCÍA, Irilis; PACHECO, Aracelys",434.68 kB,http://saber.ucv.ve/handle/10872/342,http://saber.ucv.ve/bitstream/10872/342/1/PACHECOTES.pdf,thesis_pdf/184.pdf,False,Escuela de Enfermeria,Escuela de Enfermería
193,30-Sep-2011,Valoración de enfermería en los factores predisponentes de las diarreas agudas en niños y niñas menores de 3 años que ingresan en la unidad de emergencia pediátrica del Hospital “Dr. Adolfo Prince Lara” Puerto Cabello-Estado Carabobo 2005,"Tovar, Ana T.; Martínez, Mila; Ríos, Nancy",454.61 kB,http://saber.ucv.ve/handle/10872/347,http://saber.ucv.ve/bitstream/10872/347/1/Microsoft%20Word%20-%20TESIS%20MILA.pdf,thesis_pdf/193.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
