index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor,path_txt
2770,7-Nov-2014,Desarrollo de una Solución para la Movilidad en IPv6 con Soporte para Dispositivos Móviles Android,"Graffe, Christian; Emmi, Rafael",3.44 MB,http://saber.ucv.ve/handle/10872/7549,http://saber.ucv.ve/bitstream/10872/7549/1/Tesis%20Graffe-Emmi.pdf,,thesis_pdf_all/2770.pdf,True,True,False,escuela de computacion,Escuela de Computación,Maria E Villapol,thesis_txt/2770.txt
2774,7-Nov-2014,Desarrollo del módulo WebQuest basado en la especificación IMS Learning Design para la creación de cursos en la plataforma Moodle,"López, Laura",1.7 MB,http://saber.ucv.ve/handle/10872/7553,http://saber.ucv.ve/bitstream/10872/7553/1/Tesis%20Laura%20L%c3%b3pez%20Di%20Blasi.pdf,,thesis_pdf_all/2774.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yosly Hernandez,thesis_txt/2774.txt
2776,7-Nov-2014,Framework basado en Colonias de Hormigas artificiales para la resolución de problemas de optimización,"Areyán, Enrique A.",3.32 MB,http://saber.ucv.ve/handle/10872/7565,http://saber.ucv.ve/bitstream/10872/7565/1/Tesis%20Enrique%20Alejandro%20Arey%c3%a1n%20Viqueira.pdf,,thesis_pdf_all/2776.pdf,True,True,False,escuela de computacion,Escuela de Computación,Haydemar Nunez,thesis_txt/2776.txt
2779,10-Nov-2014,Desarrollo de un prototipo de aplicación web para automatizar y optimizar los procesos académicos de la Coordinación de Postgrado de la Facultad de Ciencias de la Universidad Central de Venezuela,"Ramírez, Andrés; Plaza, Gabriel",2.66 MB,http://saber.ucv.ve/handle/10872/7597,http://saber.ucv.ve/bitstream/10872/7597/1/Tesis%20Ram%c3%adrez-Plaza.pdf,,thesis_pdf_all/2779.pdf,True,True,False,escuela de computacion,Escuela de Computación,Manuel Bemporad,thesis_txt/2779.txt
2782,10-Nov-2014,Sistema de recolección de datos estadísticos en el Servicio de Pediatría Integral “Niño Sano” del Hospital de Niño “J. M.de los Ríos” de Caracas.,"Pérez, Blanca R.",2.91 MB,http://saber.ucv.ve/handle/10872/7594,http://saber.ucv.ve/bitstream/10872/7594/1/Tesis%20Blanca%20Rosa%20P%c3%a9rez%20S%c3%a1nchez.pdf,,thesis_pdf_all/2782.pdf,True,True,False,escuela de computacion,Escuela de Computación,VPerez Sanco,thesis_txt/2782.txt
2783,12-Nov-2014,Prototipo para la gestión y clasificación de colecciones de documentos digitales,"Ostos, Annalicia",3.19 MB,http://saber.ucv.ve/handle/10872/7602,http://saber.ucv.ve/bitstream/10872/7602/1/Tesis%20Annalicia%20Ostos%20S%c3%a1nchez..pdf,,thesis_pdf_all/2783.pdf,True,True,False,escuela de computacion,Escuela de Computación,Andres Sanoja,thesis_txt/2783.txt
2784,12-Nov-2014,Construcción de un Objeto de Aprendizaje Web tipo Simulación Sísmica utilizando tecnologías de dibujo en capas con HTML5,"Piñero, Paola A.; Ramírez, Loy E.",27.45 MB,http://saber.ucv.ve/handle/10872/7601,http://saber.ucv.ve/bitstream/10872/7601/1/Tesis%20Pi%c3%b1ero-Ram%c3%adrez.pdf,,thesis_pdf_all/2784.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yosly Hernandez,thesis_txt/2784.txt
2785,12-Nov-2014,Portal Web para el Repositorio de Objetos de Aprendizaje de AMBAR,"Lozada, Oswaldo J.",2.75 MB,http://saber.ucv.ve/handle/10872/7603,http://saber.ucv.ve/bitstream/10872/7603/1/Tesis%20Oswaldo%20Jos%c3%a9%20Lozada%20Cardozo.pdf,,thesis_pdf_all/2785.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yosly Hernandez,thesis_txt/2785.txt
2818,19-Nov-2014,Diseño de la Red de Área Local Inalámbrica para el Edificio de Aulas de la Facultad de Ciencias de la UCV,"García, Felix E.",4.08 MB,http://saber.ucv.ve/handle/10872/7679,http://saber.ucv.ve/bitstream/10872/7679/1/Tesis%20Felix%20Edward%20Garc%c3%ada%20Espinoza.pdf,,thesis_pdf_all/2818.pdf,True,True,False,escuela de computacion,Escuela de Computación,Maria E Villapol,thesis_txt/2818.txt
2804,17-Nov-2014,"Gestión de historias médicas de hospitalizaciones, utilizando dispositivos móviles y tecnología Wi-Fi","Valero, Manuel A.",4.15 MB,http://saber.ucv.ve/handle/10872/7649,http://saber.ucv.ve/bitstream/10872/7649/1/Tesis%20Manuel%20A.%20Valero%20C..pdf,,thesis_pdf_all/2804.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana Morales,thesis_txt/2804.txt
